,temp
327,20
328,20
329,20
330,-99
331,-99
332,-99
333,-99
334,-99
335,-99
336,-99
337,-99
338,-99
339,-99
340,-99
341,-99
342,-99
343,-99
344,-99
345,-99
346,-99
347,-99
348,-99
349,-99
350,-99
351,-99
352,-99
353,-99
354,-99
355,-99
356,-99
357,-99
358,-99
359,-99
360,-99
361,-99
362,-99
363,-99
364,-99
365,-99
366,-99
367,-99
368,-99
369,-99
370,-99
371,-99
372,-99
373,-99
374,-99
375,-99
376,-99
377,-99
378,-99
379,-99
380,-99
381,-99
382,-99
383,-99
384,-99
385,-99
386,-99
387,-99
388,-99
389,-99
390,-99
391,-99
392,-99
393,-99
394,-99
395,-99
396,-99
397,-99
398,-99
399,-99
400,-99
401,-99
402,-99
403,-99
404,-99
405,-99
406,-99
407,-99
408,-99
409,-99
410,-99
411,-99
412,-99
413,-99
414,-99
415,-99
416,-99
417,-99
418,-99
419,-99
420,-99
421,-99
422,-99
423,-99
424,-99
425,-99
426,-99
427,-99
428,-99
429,-99
430,-99
431,-99
432,-99
433,-99
434,-99
435,-99
436,-99
437,-99
438,-99
439,-99
440,-99
441,-99
442,-99
443,-99
444,-99
445,-99
446,-99
447,-99
448,-99
449,-99
450,-99
451,-99
452,-99
453,-99
454,-99
455,-99
456,-99
457,-99
458,-99
459,-99
460,-99
461,-99
462,-99
463,-99
464,-99
465,-99
466,-99
467,-99
468,-99
469,-99
470,-99
471,-99
472,-99
473,-99
474,-99
475,-99
476,-99
477,-99
478,-99
479,-99
480,-99
481,-99
482,-99
483,-99
484,-99
485,-99
486,-99
487,-99
488,-99
489,-99
490,-99
491,-99
492,-99
493,-99
494,-99
495,-99
496,-99
497,-99
498,-99
499,-99
500,-99
501,-99
502,-99
503,-99
504,-99
505,-99
506,-99
507,-99
508,-99
509,-99
510,-99
511,-99
512,-99
513,-99
514,-99
515,-99
516,-99
517,-99
518,-99
519,-99
520,-99
521,-99
522,-99
523,-99
524,-99
525,-99
526,-99
527,-99
528,-99
529,-99
530,-99
531,-99
532,-99
533,-99
534,-99
535,-99
536,-99
537,-99
538,-99
539,-99
540,20
541,20
542,20
543,20
544,20
545,20
546,20
547,20
548,20
549,20
550,20
551,20
552,20
553,20
554,20
555,20
556,20
557,20
558,20
559,20
560,20
561,20
562,20
563,20
564,20
565,20
566,20
567,20
568,20
569,20
570,20
571,20
572,20
573,20
574,20
575,20
576,20
577,20
578,20
579,20
580,20
581,20
582,20
583,20
584,20
585,20
586,20
587,20
588,20
589,20
590,20
591,20
592,20
593,20
594,20
595,20
596,20
597,20
598,20
599,20
600,-99
601,-99
602,-99
603,-99
604,-99
605,-99
606,-99
607,-99
608,-99
609,-99
610,-99
611,-99
612,-99
613,-99
614,-99
615,-99
616,-99
617,-99
618,-99
619,-99
620,-99
621,-99
622,-99
623,-99
624,-99
625,-99
626,-99
627,-99
628,-99
629,-99
630,-99
631,-99
632,-99
633,-99
634,-99
635,-99
636,-99
637,-99
638,-99
639,-99
640,-99
641,-99
642,-99
643,-99
644,-99
645,-99
646,-99
647,-99
648,-99
649,-99
650,-99
651,-99
652,-99
653,-99
654,-99
655,-99
656,-99
657,-99
658,-99
659,-99
660,-99
661,-99
662,-99
663,-99
664,-99
665,-99
666,-99
667,-99
668,-99
669,-99
670,-99
671,-99
672,-99
673,-99
674,-99
675,-99
676,-99
677,-99
678,-99
679,-99
680,-99
681,-99
682,-99
683,-99
684,-99
685,-99
686,-99
687,-99
688,-99
689,-99
690,-99
691,-99
692,-99
693,-99
694,-99
695,-99
696,-99
697,-99
698,-99
699,-99
700,-99
701,-99
702,-99
703,-99
704,-99
705,-99
706,-99
707,-99
708,-99
709,-99
710,-99
711,-99
712,-99
713,-99
714,-99
715,-99
716,-99
717,-99
718,-99
719,-99
